[ 1851017ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5180/node_modules/.vite/deps/react-dom_client.js?v=243734fc:20102
[ 1851055ms] [ERROR] Invalid DOM property `%s`. Did you mean `%s`? fetchpriority fetchPriority @ http://localhost:5180/node_modules/.vite/deps/react-dom_client.js?v=243734fc:2396
[ 1857154ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5181/node_modules/.vite/deps/react-dom_client.js?v=70c34b2a:20102
[ 1931252ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5181/@vite/client:963
[ 1931254ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1932257ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1933260ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1934262ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1935264ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1936266ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1937268ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1938271ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1939273ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1940276ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1941279ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1942282ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1943285ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1944289ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1945293ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1946296ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1947301ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1948308ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1949314ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1950327ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1951334ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1952347ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1953369ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1954376ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1955395ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1956422ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1957446ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1958465ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1959520ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1960597ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1961655ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1962784ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1963917ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1965161ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1966349ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1967639ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1968877ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1970423ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1971955ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1973224ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1974952ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1976347ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1977980ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1981336ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1983512ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1988948ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1992877ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 1997587ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2002013ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2007270ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2011197ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2016107ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2019745ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2022088ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2025097ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2027121ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2029811ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2034221ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2036592ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2042305ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2047905ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2052896ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2055523ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2060874ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2063116ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2068174ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2071966ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2076081ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2080864ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2084048ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2088624ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2093502ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2096365ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2100025ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2104169ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2109423ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2112757ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2118241ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2122647ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2125341ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2129891ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2134571ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2140366ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2146261ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2148562ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2151895ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2155790ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2160372ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2163206ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2168121ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2172150ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2177566ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2181380ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
[ 2184065ms] [ERROR] WebSocket connection to 'ws://localhost:5181/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5181/@vite/client:1034
