[     196ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5180/node_modules/.vite/deps/react-dom_client.js?v=880dc847:20102
[ 4657918ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5180/@vite/client:963
[ 4657926ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 4658928ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 4659930ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 4660932ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 4662495ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5180/node_modules/.vite/deps/react-dom_client.js?v=76d2e382:20102
[ 4662534ms] [ERROR] Invalid DOM property `%s`. Did you mean `%s`? fetchpriority fetchPriority @ http://localhost:5180/node_modules/.vite/deps/react-dom_client.js?v=76d2e382:2396
[ 5705325ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:5180/@vite/client:963
[ 5705327ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5706330ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5707333ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5708337ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5709341ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5710346ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5711356ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5712375ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5713420ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5714457ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5715592ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5716681ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5718175ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5720238ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5723128ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5727984ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5731915ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5734263ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5738550ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5741175ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5744506ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5748444ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5751139ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5753544ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5757190ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5761865ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5764049ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5767694ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5772598ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5777032ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5781698ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5786931ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5792742ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5796324ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5799645ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5802831ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5805838ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5807850ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5812658ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5816356ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5821372ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5824922ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5825923ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5826925ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5827926ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5828929ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5829935ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5830941ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5831949ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5832960ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5833998ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5835031ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5836081ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5837272ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5838613ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5840055ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5843478ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5845534ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5851478ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5856548ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5859144ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
[ 5862615ms] [ERROR] WebSocket connection to 'ws://localhost:5180/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:5180/@vite/client:1034
